feature_id;NS.1905.001.NEBNext_dual_i7_147---NEBNext_dual_i5_147.BS2_120;NS.1905.001.NEBNext_dual_i7_152---NEBNext_dual_i5_152.BM1_120;NS.1905.001.NEBNext_dual_i7_149---NEBNext_dual_i5_149.BS3_20;NS.1905.001.NEBNext_dual_i7_142---NEBNext_dual_i5_142.BM2_20;NS.1905.001.NEBNext_dual_i7_143---NEBNext_dual_i5_143.BM3_120;NS.1905.001.NEBNext_dual_i7_151---NEBNext_dual_i5_151.BS3_120;NS.1905.001.NEBNext_dual_i7_148---NEBNext_dual_i5_148.BM1_20;NS.1905.001.NEBNext_dual_i7_144---NEBNext_dual_i5_144.BM2_120;NS.1905.001.NEBNext_dual_i7_150---NEBNext_dual_i5_150.BS1_20;NS.1905.001.NEBNext_dual_i7_141---NEBNext_dual_i5_141.BS1_120;NS.1905.001.NEBNext_dual_i7_145---NEBNext_dual_i5_145.BM3_20;NS.1905.001.NEBNext_dual_i7_146---NEBNext_dual_i5_146.BS2_20
NMG90_08740;1017;725;1198;2616;651;612;2107;844;2207;911;1279;1598
NMG90_01430;22;15;25;11;22;5;26;12;18;21;15;29
NMG90_21755;1022;777;854;779;749;676;995;889;642;1061;852;632
NMG90_16615;93;88;116;96;73;92;136;86;111;166;64;59
NMG90_03720;4436;3564;4072;3715;2908;2773;5613;3333;3880;5118;3288;4167
NMG90_11640;486;264;274;219;229;268;282;358;236;381;189;249
NMG90_14005;25019;27866;40871;44183;20086;18721;57042;21323;39863;32715;37625;42252
NMG90_10560;197;161;161;183;112;128;300;188;167;242;144;93
NMG90_07885;6689;5545;5977;5871;4228;5747;7618;5608;6075;6536;5716;5107
NMG90_22445;87;70;60;74;45;33;104;100;82;72;52;77
NMG90_20075;1928;1546;1027;1064;1291;950;1328;1485;883;1800;834;1098
NMG90_04575;79644;60853;61426;64944;47390;48289;61159;65690;51455;66193;53907;62000
NMG90_15180;451;227;269;312;150;268;417;318;287;420;267;331
NMG90_04890;3314;2125;5935;9637;1569;2161;7654;2294;6600;2875;6703;8830
NMG90_17745;2712;1751;5228;4955;2405;3695;4442;4140;9561;3661;3681;3788
NMG90_15590;206;188;265;445;157;157;451;200;365;310;285;432
NMG90_16330;80;48;59;75;47;65;86;51;65;63;53;67
NMG90_00060;7;26;17;16;7;15;20;14;19;22;4;22
NMG90_17220;2219;1821;2986;3012;976;1537;5830;1616;2889;3130;3163;2883
NMG90_16120;8107;5703;6946;6274;4265;4859;8649;5796;5262;6876;5919;5472
